,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,target
0,-412.4364,121.8788,28.489567,40.627666,17.003061,-3.5800858,-21.82578,4.5324697,7.850625,-12.954572,-1.8417404,2.3202598,-2.5658045,4.661523,8.574166,-1.7018629,-0.109837085,3.4164202,-0.29729405,-2.0026448,-1.9663297,2.0244763,1.2802492,-0.13390553,1.1037855,-0.83843946,0.5466487,3.2491512,1.2170192,-0.112267435,5
1,-379.80258,135.63959,26.454382,20.057451,6.587366,-4.3358216,-14.600451,0.9033919,0.7215164,-12.16096,1.1304878,4.2553115,-3.3091018,2.7759795,10.08425,0.060715348,-2.1360824,3.7064888,-1.4271711,-4.050345,-1.0639881,2.6790824,1.6700456,-0.23786624,0.8784223,-3.6022575,-2.5585392,1.0939413,-2.1889386,-0.36584967,5
2,-398.7941,108.427444,27.998564,47.689754,23.901056,0.2814084,-22.041094,0.53404623,4.0679836,-15.41119,-2.6892743,0.23129515,-3.0953176,5.4948835,8.804507,-2.3852,1.3821602,4.9184904,-3.5485187,-0.7380025,0.6133566,1.2635958,0.8708912,-1.6811242,0.56900346,-2.1225142,-1.1289914,1.8962228,-2.2205064,-1.8025745,5
3,-389.9564,109.96097,21.700903,27.860678,23.091589,-4.661066,-13.955779,7.2171044,0.29868546,-10.746891,2.6437821,2.014812,-1.9079306,3.6805184,3.5567086,-2.2729242,1.9280436,2.653631,-2.4038415,0.24484342,2.0969675,0.86637706,1.1654794,2.030583,-0.8358577,-3.2545094,-0.9542166,0.80293745,-0.8299231,-0.3929255,5
4,-378.19073,116.33554,27.152151,42.95582,19.225752,-3.16666,-19.256235,-1.8056667,-1.3930429,-14.793013,-0.9783421,-0.25648466,-4.393135,3.2668302,5.7337017,-3.1367242,-0.31837308,3.6610475,-2.4249575,-1.8764828,-0.77846235,-0.18485284,1.7616074,-0.3088947,-1.4571555,-2.4320843,-0.9588606,1.6545557,-2.4620233,-1.9167948,5
5,-388.21127,151.46735,9.041221,22.671997,19.95563,-3.1731596,-20.718897,3.0530508,0.76851773,-13.709007,5.1178255,-0.37538195,-7.3814435,6.4023757,4.7342596,-6.04344,-1.3635639,0.89675575,-3.7399318,-2.3040555,-0.8050353,1.4020267,3.414922,0.5561461,0.04365635,-0.32318217,-1.6896393,0.89437914,-0.87065965,-1.1647731,5
6,-316.32266,119.3269,8.725454,28.4727,4.770695,0.0065193977,-23.745903,-3.726137,-0.17650203,-12.241989,2.0668437,1.1110278,-3.1307147,2.285627,9.96759,-1.9648583,-4.8248677,5.123717,-3.4562123,-3.9413333,-0.27301338,-0.7330846,2.5037389,-1.6304804,-0.07977244,-3.7528067,-3.2422323,2.059742,0.27150917,0.108580954,3
7,-304.04956,113.64181,-4.6479354,30.435225,12.168419,-2.1974213,-27.61038,-1.9312803,-0.8191599,-14.278192,-2.433503,-4.7395406,-1.5322692,0.8019716,4.5158734,-0.4093937,-6.5622687,3.8894625,-3.3122087,-7.0573363,0.36007822,-1.4329056,1.571216,-3.6834588,-3.1858628,-1.7035857,-3.261988,0.17680687,-1.9825591,-1.5420442,3
8,-296.40558,117.1144,10.3177595,21.66939,5.679019,-2.6977077,-22.318665,-1.8591342,1.8589619,-14.036166,-1.7747505,0.28020728,-3.8847077,-2.9702168,7.463886,-0.29151508,-6.8962517,5.472597,-1.8854587,-4.640813,-0.2998842,0.064506985,1.8284855,-4.1281557,-0.4468104,-1.813154,-3.4881759,1.7966435,-0.6115451,-0.7320813,3
9,-295.62863,110.685165,7.5967374,26.454456,20.550371,-4.238346,-26.63665,-3.84435,-4.0735054,-17.122152,-4.468593,-5.1318054,-4.125504,0.8547245,3.955675,-1.3267428,-4.359519,3.310433,-4.8114448,-6.580485,1.839639,-1.1201055,-0.4583619,-1.8999462,-2.8878002,-3.7762227,-4.808135,-0.80012506,-3.2150555,-3.9406312,3
10,-309.92123,110.71378,-6.2366114,20.420368,1.5959858,-6.606785,-16.284227,3.7055144,-3.852082,-10.4408045,7.731379,-1.6511256,-5.8770967,3.4203525,1.094908,-1.2710145,4.4448376,0.4366436,-1.4562045,1.5679845,0.04572407,-0.41299665,1.1172154,-2.7030306,-3.2780619,-1.6563188,-0.36668292,1.632648,-2.0516694,-0.80445606,3
11,-337.55685,124.10607,14.112212,31.89555,13.37654,3.0306187,-26.376898,-4.617138,0.12131605,-10.513006,2.9117486,-3.4895334,-6.5262284,-0.4340302,5.209687,-3.2509148,-6.6947784,1.8522323,-3.3108253,-3.6650345,-0.88213956,-0.67679286,1.505747,-3.5004919,0.025662653,-3.3837497,-3.8970733,0.8151424,-3.6113176,-2.3439324,3
